Interest,ID,Sex,Last Seen,University,Friends,Audios,Photos,Groups,Followers,Pages,Albums,Age,Relation Status,Career,Political View,People Main,Life Main,Mobile Phone,Connections
3,783019510,2,1678406534,0,7339,0,38,0,17598,2121,3,40,1,0,0,0,0,0,1
3,782932113,2,1678045063,0,1,2,14,0,5565,1498,3,46,0,0,0,0,0,0,0
3,782839362,2,1678464334,0,2,3,101,0,29225,2382,4,14,0,1,0,0,0,0,0
3,782830070,1,1678463375,1,160,0,141,0,1033,67,4,28,0,0,0,0,0,0,1
3,782739031,1,1678455589,1,171,130,19,0,989,90,2,45,0,0,0,0,0,0,0
3,782680094,2,1678180989,0,2,0,16,0,17873,3054,2,29,0,0,0,0,0,0,0
3,782641998,2,1678379996,0,192,0,73,0,275,18,3,43,7,1,0,0,0,0,1
3,782483567,2,1677694979,1,236,0,1703,0,265,66,15,84,0,0,0,0,0,0,0
3,782432901,2,1678453889,1,231,236,16,0,183,142,3,0,1,0,0,0,0,0,0
3,782077138,1,1678459448,1,111,34,64,4559,10596,3920,2,0,0,0,0,0,0,0,0
3,782006784,2,1678356060,0,1676,1,9,0,22000,3466,3,31,0,0,0,0,0,0,0
3,781911535,2,1678432900,0,103,0,3,0,487,57,1,28,0,0,0,0,0,0,0
3,781723127,2,1678464648,1,56,143,251,0,40326,1899,2,45,6,1,0,0,0,0,0
3,781460308,2,1678418265,1,365,0,869,0,420,28,12,38,4,0,0,0,0,1,1
3,781387917,2,1678465649,0,328,0,5,0,102,23,2,22,0,0,0,0,0,0,0
3,781093700,1,1678465712,1,424,387,18,0,913,90,1,14,0,0,0,0,0,0,1
3,780844826,2,1678463000,1,181,0,1597,0,279,15,25,21,0,0,0,0,0,0,0
3,780836184,1,1678459749,1,605,0,342,0,1579,370,14,43,0,0,4,0,0,1,0
3,780812412,1,1678458537,1,24,0,30,0,784,201,2,65,4,0,0,0,0,0,0
3,780613105,2,1678464625,1,481,72,192,1967,16727,1417,4,27,0,0,0,0,0,1,0
3,780209717,2,1678450819,1,313,0,226,0,2498,176,2,24,0,0,0,0,0,0,0
3,780114148,1,1678292873,1,408,0,3,0,550,47,2,41,4,0,0,0,0,0,0
3,780074327,2,1677733405,0,380,0,9,0,18309,2933,2,31,7,1,0,0,0,0,1
3,780041552,2,1678264311,0,65,0,437,0,1466,57,8,32,0,1,0,0,0,0,0
3,780028852,1,1678462805,1,207,66,151,0,110,23,6,22,0,0,0,0,0,0,0
3,779659883,2,1678452529,1,442,58,2542,0,206,52,16,32,1,0,0,0,0,1,0
3,779310236,2,1678401534,1,184,0,3,88,69,68,3,55,0,0,0,0,0,0,0
3,779121071,2,1677878017,1,670,0,407,0,135,384,6,0,4,1,0,0,0,0,1
3,779055451,1,1678458125,1,193,0,16,0,60,264,2,21,0,1,0,0,0,0,0
3,778855384,1,1678460256,1,120,0,37,0,111,68,2,0,0,0,0,0,0,0,0
